road_id,name,base_width,width,lanes,sidewalk_width,curb_width,building_setback,bridge,map_label,highway,level,walkable
fl_hudson_terrace,Hudson Terrace,420,420,4,75,12,0,false,true,primary,0,true
fl_lemoine,Lemoine Ave,420,420,4,75,12,0,false,true,primary,0,true
fl_center,Center Ave,420,420,4,75,12,0,false,true,primary,0,true
fl_park,Park Ave,420,420,4,75,12,0,false,true,primary,0,true
fl_fletcher,Fletcher Ave,420,420,4,75,12,0,false,true,primary,0,true
fl_bridge_plaza_n,Bridge Plaza North,420,420,4,75,12,0,false,true,primary,0,true
fl_main,Main St,420,420,4,75,12,0,false,true,primary,0,true
fl_bruce_reynolds,Bruce Reynolds Blvd,420,420,4,75,12,0,false,true,primary,0,true
fl_center_cross,Center Ave Connector,420,420,4,75,12,0,false,true,primary,0,true
ny_riverside,Riverside Dr,420,420,4,75,12,0,false,true,primary,0,true
ny_broadway,Broadway,420,420,4,75,12,0,false,true,primary,0,true
ny_fort_washington,Fort Washington Ave,420,420,4,75,12,0,false,true,primary,0,true
ny_cabrini,Cabrini Blvd,420,420,4,75,12,0,false,true,primary,0,true
ny_amsterdam,Amsterdam Ave,420,420,4,75,12,0,false,true,primary,0,true
ny_claremont,Claremont Ave,420,420,4,75,12,0,false,true,primary,0,true
ny_w181,W 181st St,420,420,4,75,12,0,false,true,primary,0,true
ny_w178,W 178th St,420,420,4,75,12,0,false,true,primary,0,true
ny_w168,W 168th St,420,420,4,75,12,0,false,true,primary,0,true
ny_w120,W 120th St,420,420,4,75,12,0,false,true,primary,0,true
ny_w116,W 116th St,420,420,4,75,12,0,false,true,primary,0,true
gwb,George Washington Bridge,1050,1050,9,75,12,0,true,true,motorway,0,true
