camera_mode,profile_id,animation,sheet,direction_rows,frame_count,fps,loop,cell_width,cell_height
isometric,tshirt_blue_curly,walk_8,isometric/fluid/tshirt_blue_curly/walk_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,8,12,true,256,256
isometric,tshirt_blue_curly,turn_8,isometric/fluid/tshirt_blue_curly/turn_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,5,10,false,256,256
isometric,tshirt_blue_curly,jump_9,isometric/fluid/tshirt_blue_curly/jump_9_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,9,12,false,256,256
isometric,tshirt_blue_curly,crouch_3,isometric/fluid/tshirt_blue_curly/crouch_3_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,3,9,false,256,256
isometric,tshirt_blue_curly,prone_3,isometric/fluid/tshirt_blue_curly/prone_3_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,3,7,false,256,256
isometric,hoodie_olive_fade_mask,walk_8,isometric/fluid/hoodie_olive_fade_mask/walk_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,8,12,true,256,256
isometric,hoodie_olive_fade_mask,turn_8,isometric/fluid/hoodie_olive_fade_mask/turn_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,5,10,false,256,256
isometric,hoodie_olive_fade_mask,jump_9,isometric/fluid/hoodie_olive_fade_mask/jump_9_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,9,12,false,256,256
isometric,hoodie_olive_fade_mask,crouch_3,isometric/fluid/hoodie_olive_fade_mask/crouch_3_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,3,9,false,256,256
isometric,hoodie_olive_fade_mask,prone_3,isometric/fluid/hoodie_olive_fade_mask/prone_3_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,3,7,false,256,256
isometric,jacket_black_ponytail_shades,walk_8,isometric/fluid/jacket_black_ponytail_shades/walk_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,8,12,true,256,256
isometric,jacket_black_ponytail_shades,turn_8,isometric/fluid/jacket_black_ponytail_shades/turn_8_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,5,10,false,256,256
isometric,jacket_black_ponytail_shades,jump_9,isometric/fluid/jacket_black_ponytail_shades/jump_9_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,9,12,false,256,256
isometric,jacket_black_ponytail_shades,crouch_3,isometric/fluid/jacket_black_ponytail_shades/crouch_3_8dir.png,north;northeast;east;southeast;south;southwest;west;northwest,3,9,false,256,256
